Player,REB,Team,Opponent,Date
Wilt Chamberlain*,55,Philadelphia Warriors,Boston Celtics,11/24/60
Bill Russell*,51,Boston Celtics,Syracuse Nationals,02/05/60
Bill Russell*,49,Boston Celtics,Philadelphia Warriors,11/16/57
Bill Russell*,49,Boston Celtics,Detroit Pistons,03/11/65
Wilt Chamberlain*,45,Philadelphia Warriors,Syracuse Nationals,02/06/60
Wilt Chamberlain*,45,Philadelphia Warriors,Los Angeles Lakers,01/21/61
Wilt Chamberlain*,43,Philadelphia Warriors,New York Knicks,11/10/59
Wilt Chamberlain*,43,Philadelphia Warriors,Los Angeles Lakers,12/08/61
Bill Russell*,43,Boston Celtics,Los Angeles Lakers,01/20/63
Wilt Chamberlain*,43,Philadelphia 76ers,Boston Celtics,03/06/65
Wilt Chamberlain*,42,Philadelphia Warriors,Boston Celtics,01/15/60
Wilt Chamberlain*,42,Philadelphia Warriors,Detroit Pistons,01/25/60
Nate Thurmond*,42,San Francisco Warriors,Detroit Pistons,11/09/65
Wilt Chamberlain*,42,Philadelphia 76ers,Boston Celtics,01/14/66
Wilt Chamberlain*,42,Los Angeles Lakers,Boston Celtics,03/07/69
Bill Russell*,41,Boston Celtics,Syracuse Nationals,02/12/58
Wilt Chamberlain*,41,San Francisco Warriors,Detroit Pistons,10/26/62
Bill Russell*,41,Boston Celtics,San Francisco Warriors,03/14/65
Bill Russell*,40,Boston Celtics,Cincinnati Royals,12/12/58
Wilt Chamberlain*,40,Philadelphia Warriors,Syracuse Nationals,11/04/59
Bill Russell*,40,Boston Celtics,Philadelphia Warriors,02/12/61
Jerry Lucas*,40,Cincinnati Royals,Philadelphia 76ers,02/29/64
Wilt Chamberlain*,40,San Francisco Warriors,Detroit Pistons,11/22/64
Wilt Chamberlain*,40,Philadelphia 76ers,Boston Celtics,12/28/65
Neil Johnston*,39,Philadelphia Warriors,Syracuse Nationals,12/04/54
Bill Russell*,39,Boston Celtics,Detroit Pistons,01/25/59
Bill Russell*,39,Boston Celtics,New York Knicks,12/19/59
Wilt Chamberlain*,39,Philadelphia Warriors,Cincinnati Royals,12/28/59
Wilt Chamberlain*,39,Philadelphia Warriors,Syracuse Nationals,01/13/60
Wilt Chamberlain*,39,Philadelphia Warriors,Boston Celtics,01/29/60
Wilt Chamberlain*,39,Philadelphia Warriors,Detroit Pistons,11/04/61
Bill Russell*,39,Boston Celtics,New York Knicks,12/21/61
Maurice Stokes*,38,Rochester Royals,Syracuse Nationals,01/14/56
Bill Russell*,38,Boston Celtics,Philadelphia Warriors,02/23/58
Bill Russell*,38,Boston Celtics,New York Knicks,12/04/59
Wilt Chamberlain*,38,Philadelphia Warriors,Los Angeles Lakers,11/29/60
Wilt Chamberlain*,38,Philadelphia Warriors,Cincinnati Royals,12/18/60
Wilt Chamberlain*,38,Philadelphia Warriors,Chicago Packers,11/25/61
Bill Russell*,38,Boston Celtics,San Francisco Warriors,02/21/63
Wilt Chamberlain*,38,San Francisco Warriors,Boston Celtics,02/21/63
Bill Russell*,38,Boston Celtics,New York Knicks,01/30/65
Bill Russell*,38,Boston Celtics,Los Angeles Lakers,03/03/65
Wilt Chamberlain*,38,Philadelphia 76ers,San Francisco Warriors,03/02/67
Wilt Chamberlain*,38,Philadelphia 76ers,Seattle SuperSonics,12/20/67
Wilt Chamberlain*,38,Los Angeles Lakers,Baltimore Bullets,03/09/69
Moses Malone*,37,Houston Rockets,New Orleans Jazz,02/09/79
Charles Oakley,35,Chicago Bulls,Cleveland Cavaliers,04/22/88
Dennis Rodman*,34,Detroit Pistons,Indiana Pacers,03/04/92
Rony Seikaly,34,Miami Heat,Washington Bullets,03/03/93
Swen Nater,33,Milwaukee Bucks,Atlanta Hawks,12/19/76
Kevin Willis,33,Atlanta Hawks,Washington Bullets,02/19/92
Charles Barkley*,33,Houston Rockets,Phoenix Suns,11/02/96
Robert Parish*,32,Golden State Warriors,New York Knicks,03/30/79
Swen Nater,32,San Diego Clippers,Denver Nuggets,12/14/79
Moses Malone*,32,Houston Rockets,Seattle SuperSonics,02/11/82
Dennis Rodman*,32,Detroit Pistons,Charlotte Hornets,01/28/92
Dennis Rodman*,32,San Antonio Spurs,Dallas Mavericks,01/22/94
Larry Smith,31,Golden State Warriors,Denver Nuggets,03/28/81
Kevin Willis,31,Atlanta Hawks,Dallas Mavericks,12/03/91
Dennis Rodman*,31,Detroit Pistons,Sacramento Kings,03/14/92
Dikembe Mutombo*,31,Denver Nuggets,Charlotte Hornets,03/26/96
Kevin Love^,31,Minnesota Timberwolves,New York Knicks,11/12/10
Jusuf Nurkic,31,Phoenix Suns,Oklahoma City Thunder,03/03/24
Kareem Abdul-Jabbar*,30,Los Angeles Lakers,New Jersey Nets,02/03/78
Swen Nater,30,Buffalo Braves,New Jersey Nets,03/04/78
Michael Cage,30,Los Angeles Clippers,Seattle SuperSonics,04/24/88
Dennis Rodman*,30,San Antonio Spurs,Houston Rockets,02/21/95
Andrew Bynum,30,Los Angeles Lakers,San Antonio Spurs,04/11/12
Dwight Howard*,30,Charlotte Hornets,Brooklyn Nets,03/21/18
Enes Kanter Freedom,30,Portland Trail Blazers,Detroit Pistons,04/10/21
